Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Seeking VA/DC/MD Mental Health Professionals (and postdocs and LGPCs)!,$32K-$57K (Glassdoor est.),"We are a busy, insurance-based group private practice with multiple locations in Washington, DC and MD. We are seeking licensed VA, DC or MD mental health therapists and postdocs and LGPCs to join our practice. For now, the sessions will be teletherapy.Our clinical staff includes Licensed Psychologists (Psy.D. or Ph.D.) and licensed Masters (LPC, LICSW, LMFT) practitioners. We treat adults only (18+) and our client population is very diverse. Our clients present with depression, anxiety, adjustment disorders, relationship concerns, disordered eating/body image concerns, work/life balance issues, trauma, LGBTQ concerns, and general life transition concerns. We find that clinicians with experience working in University Counseling Center settings, EAP's, or other high-functioning client settings are a good fit for our client population.We are seeking clinicians who are generalists; those who have a variety of clinical ""tools"" in their tool box, who are able to be flexible in treatment based on client needs. Each new staff member will be given the opportunity to have input in their schedule based on the availability of office space.For a qualified postdoc or LGPC, or LGSW, we would offer weekly, individual supervision, and all of the clients a postdoc/LGPC/LGSW would see. The clients would be screened for fit before the postdoc saw the client, and the postdoc would have the option to choose to continue with a client after a consult.Mornings, midday, evenings, and weekends are available for scheduling. Clinicians are required to have a minimum of 20 hours of availability per week, and either be available for some morning or evening hours. Licensed clinicians will join insurance panels under our group. Our staff members complete the credentialing process for all new clinicians, as well as handle billing and reconciliation. We also provide furnished offices, a relaxed office environment and a supportive practice for therapists. We also provide a healthy private practice for support that currently conducts over 425 sessions weekly, that has continued to grow every year since it began in 2010.Job Types: Full-time, Part-timeSchedule:* Day shift* Monday to Friday* WeekendsCOVID-19 considerations:Currently, our entire practice is conducting telehealth sessions. However, our offices are available for therapists to conduct their telehealth sessions from our office. No clients are allowing in the offices, for now.License:* Do you have a CAQH number (Preferred)* MD (Preferred)* Have you ever been credentialed on insurance panels before (Preferred)* DC (Preferred)* VA (Preferred)Work Location:* Multiple locations* Fully RemoteCompany's website:* http://www.renewpsych.comCompany's Facebook page:* https://www.facebook.com/renewpsych/Work Remotely:* Yes",4.0,"Re-New Psychological Services
4.0","Washington, DC",-1,1 to 50 Employees,-1,Private Practice / Firm,-1,-1,Less than $1 million (USD),-1
Postdoc postdoctoral researcher or associate in breast cancer research,$32K-$57K (Glassdoor est.),"A research position (Ph.D. level or equivalent) is immediately available in a breast cancer research lab (Dai Horiuchi, Principal Investigator) at Northwestern University Feinberg School of Medicine and Robert H. Lurie Comprehensive Cancer Center in Chicago.The focus of the lab is to study the mechanisms of tumor progression in breast cancer (triple-negative breast cancer/TNBC) and to identify novel treatment strategies. To achieve these goals, we utilize a collection of human breast cancer cell lines, preclinical animal models, primary tumor organoids, and high-throughput screening approaches along with state-of-the-art bioinformatics through collaboration with experts in the field.We are seeking a highly motivated, Ph.D. level researcher with solid, up-to-date molecular biology/cell biology skills (e.g., cloning, CRISPR gene-editing, virus-mediated gene expression/silencing, light microscopy, and cell-based assays) as demonstrated by peer-reviewed publications.Prior experience in handling rodent animal models (e.g., transgenic/syngeneic/PDX) of cancer, as well as large gene expression datasets, is ideal but not required.Overall cancer research at Northwestern is on an exciting, rapid growth phase and provides enormous opportunities for us to positively impact the lives of cancer patients through innovative basic and translational research. Please submit a brief introduction of your academic/research background and current career goals, curriculum vitae, and contact info for three references. Successful candidates will be contacted via email.Job Type: Full-timePay: $50,000.00 - $52,000.00 per yearBenefits:* Dental Insurance* Health Insurance* Vision InsuranceSchedule:* Monday to FridayWork Location:* One locationWork Remotely:* No",4.1,"Northwestern University
4.1","Chicago, IL",-1,5001 to 10000 Employees,1851,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1
"Postdocs, research scientists",$32K-$57K (Glassdoor est.),"Biochemists and Mid-infrared Postdocs, Engineers and Research Scientists *We are looking for high quality researchers with established track records of conducting biomarker detection including corona virus and mid-infrared photonics research with nanophotonics packaging and automation experiences.Omega optics has several on-going programs from federal government and private industry targeted at biomarker detection, gas sensing and optical neural networks. We are also in the process of exploring joint ventures with potential collaborators. The success will create a myriad of openings for further commercialization. The qualifications for these positions include:1. Have a Ph.D. degree from major research universities in the related field.2. Familiarity with clean room fabrication procedures for silicon and mid- infrared nanophotonics.3. Optical sensing and hands-on experiences for biomarker and chemical detection4. Packaging and automation for nanophotonic system integration5. Have in-depth understanding of optical neural networks6. QCL, ICL, QCD and ICD mid-infrared design and testing7. Good communication skills in writing and oral presentation.8. High working ethics in experimental data delivery9. Know how to handle inter-personal relationship in the professional realm with supervisors and peers.10. Has a legal working status in USA. Green card holders and US citizens are preferred but not a must.Interesting candidates please visit our website at www.omegaoptics.comJob Type: Full-timePay: $4,500.00 - $6,500.00 per monthBenefits:* 401(k)* 401(k) matching* Dental insurance* Health insurance* Paid time offSchedule:* Monday to FridayCOVID-19 considerations:will adjust to accommodate the needs due to COVID 19Education:* Doctorate (Required)Required travel:* 25% (Preferred)Relocation:* UAE (Preferred)Work Remotely:* Temporarily due to COVID-19",2.8,"Omega Optics
2.8","Austin, TX",-1,51 to 200 Employees,1969,Company - Private,Industrial Manufacturing,Manufacturing,$5 to $10 million (USD),-1
Post-Doc/Psychologist,$32K-$57K (Glassdoor est.),"Company:Regional Mental Health Center, is a progressive, not-for-profit, comprehensive community mental health center, with over a dozen locations, located within 45-minutes southeast of downtown Chicago in Northwest Indiana. Regional is part of the system of private non-profit mental health centers that have successfully served Indiana for over 40 years. Regional Mental Health Center offers a comprehensive range of professional services to meet the mental health and addiction treatment needs of adults, children, and families. Services can vary from parenting or stress management classes for the general public, to crisis intervention services or hospitalization for an acute psychiatric episode. As an organization that specializes in providing behavioral health programs, Regional Mental Health Center also provides such services as counseling for marriage, child-related, and aging concerns, as well as treatment for addiction problems and serious mental illness. We provide individual, couple, group and family therapy, and psychopharmacology services at multiple locations. The Strawhun Center in Merrillville, Indiana has an inpatient program, which provides acute hospital care for mild to serious psychiatric disorders. Additionally, addictions programs are provided for adults needing residential care or intensive day treatment at both the East Chicago and Merrillville, Indiana locations. Outpatient psychotherapy groups for substance abusers are also provided at multiple locations.Position: Post-Doc/PsychologistProvides outpatient services to individuals, groups, families, and couples. Completes assessments and formulates treatment plans reflective of the client’s needs and diagnosis. Constructs treatment objectives and reviews treatment on a periodic basis and modifies according to client’s progress or lack of progress. Will participate in departmental staff meetings. Requires an MA/MS or Ph.D./Psy.D degree in Social Work or Psychology. In addition, an active License or Permit for the State of Indiana in any of the following disciplines (HSPP, LSW, LAC, LMHC-A, LMFT-A, LCSW, LCAC, LMHC, LMFT) is required. Shift: 4 days a week/ 40 hours).Benefits: Medical, Dental, Vision, 4 week of Paid Time Off, Overtime eligible, 401K, PensionJob Type: Full-timePay: $23.54 - $30.60 per hourBenefits:* 401(k)* Dental insurance* Disability insurance* Employee assistance program* Flexible spending account* Health insurance* Life insurance* Paid time off* Vision insuranceEducation:* Master's (Required)License:* Indiana LCSW/LMHC/LCAC (Preferred)This Job Is Ideal for Someone Who Is:* Dependable -- more reliable than spontaneous* People-oriented -- enjoys interacting with people and working on group projects* High stress tolerance -- thrives in a high-pressure environmentThis Company Describes Its Culture as:* Stable -- traditional, stable, strong processes* People-oriented -- supportive and fairness-focused* Team-oriented -- cooperative and collaborativeBenefit Conditions:* Waiting period may apply* Only full-time employees eligibleWork Remotely:* No",2.5,"Geminus & Regional Health Systems
2.5","Highland, IN",-1,501 to 1000 Employees,1992,Nonprofit Organization,Social Assistance,Non-Profit,Unknown / Non-Applicable,-1
"Postdoctoral Fellow – Medical Devices, Point of care diagnostics",$32K-$57K (Glassdoor est.),"Located in Boston, MA, Brigham and Women's Hospital (BWH) is an international leader in providing high quality healthcare in literally the majority of areas of medicine to our patients globally. BWH supports accelerating innovations and discoveries that help improving general human health. It is a unique environment in fostering medical innovations with the goal of improving human lives. Due to our attention to patients’ needs and our focus on differentiation, BWH has been continuously ranked as a top hospital by US News and World Report in medical areas such as gynecology, surgery, cardiology, cancer, infectious diseases, neurosurgery, and rheumatology. Combining extremely talented people with the best technologies in a genuinely positive environment, we provide compassionate and comprehensive care to patients of all ages; we conduct research that advances treatment; we educate tomorrow's physician/researchers; we reach out to underserved members of our community; and we work with amazing partners, including other Harvard Medical School-affiliated hospitals.A postdoc position is available in the Division of Engineering in Medicine, Department of Medicine at BWH, Harvard Medical School. We are currently looking for eager Postdoctoral Fellows to assist in the development of low-cost, point-of-care diagnostics for rapid detection of infectious diseases through quantification of target bioagents, including biomarkers, bacterial pathogens, and viruses in biological samples such as whole blood, urine, and saliva.Candidate must have a strong passion and interest in developing medical devices and point of care diagnostics and outstanding written and verbal communication skills. Candidate must be self-motivated, have demonstrated productivity, and ability to be independent while also working in a team environment. Experience in diagnostics and point of care detection particularly in infectious diseases is strongly preferred. Recent graduates are encouraged.‪‪Job Type: Full-timePay: $51,657.00 - $60,000.00 per yearBenefits:* Dental insurance* Health insurance* Paid time off* Vision insuranceSchedule:* Monday to FridayThis Company Describes Its Culture as:* Detail-oriented -- quality and precision-focused* Innovative -- innovative and risk-taking* Aggressive -- competitive and growth-oriented* People-oriented -- supportive and fairness-focused* Team-oriented -- cooperative and collaborativeWork Remotely:* No",-1,Brigham and Women's Hospital / Harvard Medical School,"Cambridge, MA",-1,-1,-1,-1,-1,-1,-1,-1
Fermentation Project Leader,$32K-$57K (Glassdoor est.),"Job Description**Company Description: *Nutriomix Group is a Southern California based functional food company. We explore natural materials, nature processes to create the next generation of foods or dietary supplements that will prevent and treat unhealthy human conditions such as obesity and other diet related diseases. We have a series of products that include functional dietary fibers. Other functional food products include weight control, improve gut microbe balance, and immunity, and in general make people live healthy.*Company Culture: *Innovation is at the core of our team, we encourage new ways of thinking, new methods, novel solutions. We are passionate about making the world a better place by letting people eat well, making them disease free and healthy. This passion translates into the culture of our office, a lively, open, inclusive place to work. This is an exciting time to be a part of the growing company.*Description: *Nutriomix Group is building a research and discovery center in San Diego with a multidisciplinary team including scientists from broad backgrounds. Right now, we are looking for a fermentation scientist to join our growing team! The candidate should be ready to lead a research team to discover and create novel food products through clear understanding the various fermentation conditions in food industry. The candidate should be an expert in fermentation technology and processes; must be passionate and knowledgeable about bioreactor fermentation, while also competently representing the company’s mission and core values. The ideal applicant will have strong interpersonal skills and be driven to do what it takes to contribute to a small cross-functional team in a fast paced, collaborative, start-up environment.*Roles and Responsibilities: ** Lead the team to address critical issues in fermentation. Set and execute the strategic and tactical direction in upstream process development.* Identify, develop and implement novel upstream technologies required to meet project objectives with respect to specific nutrients, titer, yield and purity, and to deliver material for functional testing, and commercial production.* Perform experiments at the benchtop scale for both semi-continuous and continuous operations* Participate in project team responsible for executing successful technology transfer and scale-up of fermentation and recovery processes to pilot plant.*Requirements: ** PhD in Microbiology, Biology, Biochemical Engineering or related discipline with experience in fermentation technology and process development.* Self-starter with strong organizational, analysis, process design, training and general communication skills.* Deep technical acumen and expertise in development, implementation and optimization of fermentation processes that reproduce bench scale results at the pilot plant and manufacturing scales. Experience cultivating filamentous fungi is highly desired.* Past experience with operating chemostats highly desired.* Hands on mechanical and electrical experience required.* Knowledge about nutrition and diseases is highly desirableJob Type: Full-timeBenefits:* 401(k)* Health Insurance* Paid Time OffSchedule:* Monday to FridayExperience:* Fermentation: 2 years (Required)* Continuous Fermentation: 1 years (Preferred)Education:* DoctorateJob Type: Full-timePay: $80,000.00 - $150,000.00 per yearBenefits:* Health insuranceSchedule:* Monday to FridaySupplemental Pay:* Bonus payExperience:* postdoc or industrial research: 2 years (Preferred)Education:* Doctorate (Required)Work authorization:* United States (Required)",-1,"Nutriomix Group Co., LTD","San Diego, CA",-1,-1,-1,-1,-1,-1,-1,-1
Chemist,$32K-$57K (Glassdoor est.),"GenEdit is an early stage company developing the next-generation therapeutics for genetic and other diseases through safe and efficient delivery of gene therapeutic drugs. Our technology platform is based on non-viral, biocompatible polymer nanoparticles for the targeted in vivo delivery of nucleic acids, proteins, or ribonucleic acid-protein complexes (RNP) to specific organs or cell types. GenEdit fosters a dynamic start-up environment where self-driven, enthusiastic employees thrive. We are based in South San Francisco, CA and currently expanding across all functions within the organization.*Role description*Polymer synthesis and characterizationThe position focuses on developing novel polymer nanoparticle for the delivery of gene therapy. We are seeking a highly self-motivated and goal-oriented scientist with extensive experience in conjugation chemistry, polymer synthesis, and characterization.The successful candidate will be a highly collaborative, resourceful and effective team-player who is enthusiastic to tackle challenging scientific and technical problems with novel approaches in the lab.*Desired skill sets*· Polymer chemistry, Analytical chemistry, or Conjugation chemistry· Hands-on experience with nanoparticle generation, purification, and characterization· Experience with NMR, GPC, MAL-SEC, HPLC, fluorescence spectroscopy, UV-vis, DSC, ITC, DLS, SEM and other nanoparticle characterization methods.· Working knowledge of applicable biology background for relevant therapeutic areas of rare genetic disorder is a plus· Highly motivated scientist with particular attention to detail and the ability to independently plan, design and implement experiments· Excellent written, verbal and presentation skills*Requirement*U.S citizenship or green card is required.Experience in industry or postdoc experience is plusThe position is available immediatelyJob Type: Full-timeBenefits:* 401(k)* Dental Insurance* Health Insurance* Paid Time Off* Vision InsuranceSchedule:* Monday to FridayEducation:* Doctorate (Required)Work authorization:* United States (Required)Company's website:* www.genedit.comBenefit Conditions:* Only full-time employees eligibleWork Remotely:* No",5.0,"GenEdit
5.0","South San Francisco, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Postdoctoral Scholar,$32K-$57K (Glassdoor est.),"BASIC FUNCTION AND RESPONSIBILITY

Design and implement epidemiologic studies of cancer prevention, detection, etiology, treatment, progression, or survivorship; conduct data analyses using existing data sets or prospectively collected data; prepare and publish manuscripts; and write grant proposals for new funding.

CHARACTERISTIC DUTIES AND RESPONSIBILITIES

Design and implement epidemiologic studies of cancer.

Identify and define hypotheses to test.

Conduct data analysis to test hypotheses generated and prepare abstracts, reports, and scientific manuscripts to summarize such analyses.

Write and contribute to grant proposals, manuscripts, abstracts, and other research reports and documents.

Develop a high quality publication record in peer-reviewed journals

Present at national and international conferences.

Actively participate in intramural meetings and collaborate with staff, faculty, and students to maintain an excellent, high quality population science program.

Assist in the development of skills and competence in others (e.g., through the supervision of students).

Ensure that research projects are completed on time and within budget.

EDUCATION REQUIREMENT:
A PhD in a scientific discipline such as epidemiology, genetics, health services, or other relevant science field.

REQUIRED QUALIFICATIONS:
Demonstrated ability to conduct epidemiologic data analysis is required.

Experience in population science research is required.

Excellent verbal and written communication skills are required.

Demonstrated ability to prepare manuscripts, reports, charts, and other documents of a technical and scientific nature are required.

DESIRABLE QUALIFICATIONS:
Demonstrated public speaking experience is highly desirable.

A record of high-quality, cancer-focused publications in peer-reviewed journals is highly desirable.

A record of presentations at national conferences is highly desirable.

Experience with grant preparation is desirable.

Please apply through the following link https://jobs.uiowa.edu/postdoc/view/3338",4.2,"University of Iowa
4.2","Iowa City, IA",-1,10000+ Employees,1847,College / University,Colleges & Universities,Education,$1 to $2 billion (USD),-1
Nephrology Research Therapeutic Area Head (Associate Director),$32K-$57K (Glassdoor est.),"2 million! That’s the number of people worldwide who currently rely on dialysis or kidney transplant to survive. This number may represent less than 10% of the actual number requiring treatment for kidney related illnesses.Novartis is committed to ground breaking translational research to discover and develop new therapeutics for patients with acute and chronic kidney disease. The Nephrology research group currently explores primary glomerular diseases, gene therapies for monogenic kidney diseases, and innovative ways to treat polycystic kidney disease.As the Nephrology Therapeutic Area Head for Disease Area X (DAx), you will contribute to NIBR’s mission to advance the “new science of therapeutics” through innovation in therapeutic target and lead discovery, and enabling clinical progression of new therapeutic opportunities for kidney indications. You will lead a team of interdisciplinary scientists in Basel (Switzerland) and Cambridge MA (USA) tasked with:1. Driving innovation and the discovery of novel targets and therapeutic leads in kidney disease, and driving their progression to the clinic2. Coordination of cross-functional, cross-site kidney disease activities and catalysation of cross-DA/FA collaborations around translational research, drug discovery, and early clinical development.YOUR KEY RESPONSIBILITIES:- Lead a matrixed research group of 11 scientists (3 PhDs who have 8 Scientists reporting to them), and indirectly reporting scientific collaborators (~30 scientists)- Collaborate with Translational Medicine colleagues to define new clinical opportunities, and recommend potential drug candidates for evaluation in those new indications- Be the scientific partner to business development colleagues in evaluating external biotech and academic collaborations, to advance science, drug discovery and translational research- Responsible for portfolio maturation and collaboration with the Portfolio Strategy Director to drive strategy, resourcing, and budget management- Coordinate the Nephrology Strategic Working Group, an internal scientific advisory board comprised of Novartis specialists in renal diseases, drug hunting, and clinical development- Member of the DAx leadership team, helping to define the strategic direction of DAx; representing DAx in reviews, internal and external meetings- Responsible for team development and talent management, encouraging cross-functional collaborations and harmonies to increase team work and time to impactWhat You'll Bring to the Team:- PhD, or MD with PhD-level research experience- A completed Postdoc and recognized achievements in kidney research, including credible publications in international journals- Significant relevant research experience (10+ years) and publications after your PhD/Postdoc from within biotech/pharma, including experience managing projects and research scientists, and having budget responsibilities. Ideally you have experience managing those who themselves are managers.- Sophisticated project and people leadership skills and experience, successfully influencing matrix/partner management and teams in an interdisciplinary global environment- Business-level proficiency in English; German advantageousThis position is written for Associate Director. For much stronger applicants, suitable adjustments may be possible for Director.International relocation is supported. The position will be in Basel or Cambridge: please confirm in your application letter if you wish to be considered for both locations.About Disease Area X (DAx)NIBR's DAx focuses on potentially ground-breaking therapeutics that are outside the remit of other NIBR disease areas and has ~100 scientists and physicians working in Basel and Cambridge MA. The group's current research is on liver diseases, kidney diseases, and non-malignant blood diseases with teams working on each, plus exploratory Translational Profiling for disease characterization, target finding, and biomarker discovery.Why consider Novartis?799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.Imagine what you could do at Novartis!Commitment to Diversity and Inclusion:Novartis embraces diversity, equal opportunity and inclusion. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration, and empowers our people to unleash their full potential.The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.",4.0,"Novartis
4.0","Cambridge, MA",-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
"Psychologist; Post-doc, LPC, LCSW",$32K-$57K (Glassdoor est.),"Private Practice opportunity for a licensed psychologist in the Dallas area. Join a well established group in practice since 1981 in Rockwall, TX. Website: www.lakewoodgroup.net. Currently there are seven psychologists and one psychiatrist in the group. We serve a diverse range of patients from a wide geographical area. This is a long-term position. Managed Care panel memberships helpful. Contact Dr. Rob Mehl. 972-771-3969 x0, fax: 972-771-8258,Job Type: Full-timePay: $65,000.00 - $95,000.00 per yearLicense:* Psychology, LPC or LCSW (Required)",-1,The Lakewood Group,"Rockwall, TX",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
